file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler19Test.java,io.vavr.collection.euler.Euler19Test,class,5,4,1,13,3,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,11,2,0,1,0,0,0,4,0,0,1,0,0,0,1,84,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler20Test.java,io.vavr.collection.euler.Euler20Test,class,5,3,1,11,3,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,12,2,0,0,0,0,1,170,0,3,2,0,0,0,1,35,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler21Test.java,io.vavr.collection.euler.Euler21Test,class,6,6,1,18,3,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,14,2,0,2,0,0,0,25,1,8,9,0,0,0,6,59,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler22Test.java,io.vavr.collection.euler.Euler22Test,class,6,3,1,19,3,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,12,2,0,0,0,0,5,5,0,4,4,0,0,0,4,82,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler23Test.java,io.vavr.collection.euler.Euler23Test,class,10,5,1,24,0,NaN,NaN,3,2,1,2,0,0,1,0,0,0,4,4,0,4,0,0,4,0,17,21,2,0,0,0,0,0,10,4,5,8,0,0,0,6,107,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler24Test.java,io.vavr.collection.euler.Euler24Test,class,9,4,1,26,3,NaN,NaN,3,2,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,17,23,3,0,1,0,4,23,11,4,13,7,1,0,0,5,89,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler25Test.java,io.vavr.collection.euler.Euler25Test,class,6,3,1,9,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,1,0,0,0,4,0,0,1,0,0,0,1,55,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler26Test.java,io.vavr.collection.euler.Euler26Test,class,11,12,1,41,45,NaN,NaN,10,9,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,41,9,0,1,0,1,1,28,0,4,10,0,0,0,10,91,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler27Test.java,io.vavr.collection.euler.Euler27Test,class,9,4,1,16,3,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,14,2,0,0,0,0,0,14,1,4,8,0,0,0,4,77,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler28Test.java,io.vavr.collection.euler.Euler28Test,class,5,7,1,18,15,NaN,NaN,6,5,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,21,5,0,0,0,0,0,10,0,3,4,0,0,0,4,66,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler29Test.java,io.vavr.collection.euler.Euler29Test,class,3,2,1,8,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,9,1,0,0,0,0,0,6,0,0,1,0,0,0,1,49,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler30Test.java,io.vavr.collection.euler.Euler30Test,class,9,6,1,23,6,NaN,NaN,4,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,15,3,0,1,0,0,0,10,0,1,6,0,0,0,7,61,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler31Test.java,io.vavr.collection.euler.Euler31Test,class,4,5,1,7,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,9,1,0,1,0,2,0,14,1,2,1,0,0,0,0,51,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler32Test.java,io.vavr.collection.euler.Euler32Test,class,8,4,1,29,1,NaN,NaN,3,2,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,15,16,2,0,1,0,0,7,15,1,6,7,0,0,0,6,81,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler33Test.java,io.vavr.collection.euler.Euler33Test,class,11,10,1,34,15,NaN,NaN,6,5,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,23,5,0,4,0,0,0,15,0,8,10,0,0,0,9,93,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler34Test.java,io.vavr.collection.euler.Euler34Test,class,6,4,1,14,3,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,12,2,0,1,0,0,0,6,0,0,2,0,0,0,2,59,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler35Test.java,io.vavr.collection.euler.Euler35Test,class,9,7,1,29,6,NaN,NaN,4,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,18,3,0,3,0,0,0,16,2,2,6,0,0,0,4,50,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler36Test.java,io.vavr.collection.euler.Euler36Test,class,5,6,1,14,6,NaN,NaN,4,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,16,3,0,2,0,0,0,3,2,0,4,0,0,0,2,54,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler37Test.java,io.vavr.collection.euler.Euler37Test,class,10,4,1,30,3,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,17,3,0,0,0,0,0,11,1,1,5,1,0,0,4,66,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler38Test.java,io.vavr.collection.euler.Euler38Test,class,10,5,1,32,6,NaN,NaN,4,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,16,3,0,1,0,0,5,6,0,4,5,0,0,0,5,69,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler39Test.java,io.vavr.collection.euler.Euler39Test,class,8,4,1,24,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,12,10,1,0,1,0,0,0,15,1,1,12,0,0,0,8,65,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler40Test.java,io.vavr.collection.euler.Euler40Test,class,4,4,1,16,3,NaN,NaN,3,2,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,5,13,2,0,0,0,0,0,10,1,3,7,0,0,0,5,65,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler41Test.java,io.vavr.collection.euler.Euler41Test,class,6,3,1,17,3,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,13,2,0,0,0,0,0,8,0,0,1,0,0,0,1,46,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler42Test.java,io.vavr.collection.euler.Euler42Test,class,9,8,1,35,15,NaN,NaN,6,5,1,5,0,0,1,0,0,0,2,2,0,2,0,0,2,0,16,29,5,0,1,0,1,6,32,2,4,8,0,0,0,6,101,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler43Test.java,io.vavr.collection.euler.Euler43Test,class,7,3,1,23,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,12,1,0,1,0,0,1,12,3,1,10,0,0,0,6,87,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler44Test.java,io.vavr.collection.euler.Euler44Test,class,7,3,1,13,1,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,9,1,0,0,0,0,0,6,1,5,5,0,0,0,4,54,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler45Test.java,io.vavr.collection.euler.Euler45Test,class,5,6,1,15,6,NaN,NaN,4,3,1,3,0,0,1,0,0,0,1,1,0,1,0,0,1,0,7,21,3,0,2,0,2,0,25,3,9,5,0,0,0,2,62,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler48Test.java,io.vavr.collection.euler.Euler48Test,class,4,8,1,14,15,NaN,NaN,6,5,1,5,0,0,1,0,0,0,1,1,0,1,0,0,1,0,10,24,5,0,1,0,4,0,12,3,4,7,0,0,0,4,52,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler55Test.java,io.vavr.collection.euler.Euler55Test,class,7,4,1,17,6,NaN,NaN,4,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,14,3,0,0,0,0,0,4,0,0,0,0,0,0,0,107,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler57Test.java,io.vavr.collection.euler.Euler57Test,class,5,5,1,12,6,NaN,NaN,4,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,14,3,0,0,0,0,0,2,0,0,1,0,0,0,1,71,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler67Test.java,io.vavr.collection.euler.Euler67Test,class,7,4,1,20,3,0.0,0.0,3,2,1,1,0,1,2,0,0,0,1,1,0,1,0,0,1,0,10,22,4,0,1,0,0,3,8,2,5,4,1,0,0,3,63,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler71Test.java,io.vavr.collection.euler.Euler71Test,class,5,5,1,7,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,19,3,0,0,0,0,0,10,2,4,3,2,0,0,2,63,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Euler99Test.java,io.vavr.collection.euler.Euler99Test,class,6,3,1,15,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,8,1,0,0,0,0,2,5,0,2,4,0,0,0,3,75,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\PrimeNumbers.java,io.vavr.collection.euler.PrimeNumbers,class,10,6,1,18,6,0.0,0.0,4,3,0,1,0,3,3,0,0,0,1,1,0,1,0,0,1,0,13,19,4,0,2,0,0,0,5,1,4,6,1,0,0,6,19,16,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\test\java\io\vavr\collection\euler\Sieve.java,io.vavr.collection.euler.Sieve,class,8,10,1,20,0,NaN,NaN,2,1,0,1,0,1,1,0,0,0,2,2,0,2,0,0,2,0,10,9,1,0,4,0,6,0,15,2,15,27,0,0,0,14,18,16,0
