Unnamed: 0,HashId,ProjectName,CreatedAt,Age,PrimaryLanguage,Stargazers,TotalOfReleases,CBO,DIT,LOC,LCOM
41,MDEwOlJlcG9zaXRvcnk1MDcwMzg5,greenrobot/EventBus,16/07/2012,10,Java,24092,7,3.0,1.0,5269,0
42,MDEwOlJlcG9zaXRvcnk3NTg3MDM4,alibaba/canal,13/01/2013,9,Java,24026,24,4.0,1.0,107079,1.0
43,MDEwOlJlcG9zaXRvcnkxODcyMzgzNg==,dromara/hutool,13/04/2014,8,Java,23866,120,3.0,1.0,112925,1.0
44,MDEwOlJlcG9zaXRvcnkxMzc0NTE0MDM=,alibaba/nacos,15/06/2018,4,Java,23865,47,3.0,1.0,110075,0
45,MDEwOlJlcG9zaXRvcnkxNTQ2NDgxMTI=,hollischuang/toBeTopJavaer,25/10/2018,3,Java,23826,0,0,0,0,0
46,MDEwOlJlcG9zaXRvcnk5MzE1MjIyMw==,scwang90/SmartRefreshLayout,02/06/2017,5,Java,23793,10,-,-,-,-
47,MDEwOlJlcG9zaXRvcnkxMTI3ODU0MTQ=,alibaba/spring-cloud-alibaba,01/12/2017,4,Java,23572,28,5.0,1.0,14314,0
48,MDEwOlJlcG9zaXRvcnkxMjYxNzg2ODM=,halo-dev/halo,21/03/2018,4,Java,23503,87,5.0,1.0,22233,0
49,MDEwOlJlcG9zaXRvcnk1NTg4Njc5OA==,CymChad/BaseRecyclerViewAdapterHelper,10/04/2016,6,Java,23098,193,3.0,1.0,3931,0
50,MDEwOlJlcG9zaXRvcnkyMjExMjQz,apache/kafka,15/08/2011,11,Java,23034,0,4.0,1.0,413470,0
51,MDEwOlJlcG9zaXRvcnk2NzY2NTU4,Netflix/Hystrix,19/11/2012,9,Java,22909,79,2.0,1.0,62010,0
52,MDEwOlJlcG9zaXRvcnkxNjMzODczMzc=,seata/seata,28/12/2018,3,Java,22780,33,5.0,1.0,176228,3.0
53,MDEwOlJlcG9zaXRvcnkyOTkwMTky,signalapp/Signal-Android,15/12/2011,10,Java,22767,0,4.0,1.0,47735.0,1.0
54,MDEwOlJlcG9zaXRvcnk0NzAyMzYwMw==,xuxueli/xxl-job,28/11/2015,6,Java,22455,31,3.0,1.0,8598,0
55,MDEwOlJlcG9zaXRvcnkzMjUzODg3MQ==,google/gson,19/03/2015,7,Java,21355,4,2.0,1.0,30964,0
56,MDEwOlJlcG9zaXRvcnk0MTg4OTAzMQ==,TeamNewPipe/NewPipe,03/09/2015,7,Java,20817,121,5.0,1.0,37776,1.0
57,MDEwOlJlcG9zaXRvcnkxMzg2MjM4MQ==,DrKLO/Telegram,25/10/2013,8,Java,20690,75,3.0,1.0,1009291,0
58,MDEwOlJlcG9zaXRvcnk1MzczNTUx,libgdx/libgdx,10/08/2012,10,Java,20429,9,-,-,-,-
59,MDEwOlJlcG9zaXRvcnk0NTcyMTAxMQ==,apache/skywalking,07/11/2015,6,Java,20193,53,4.0,1.0,64854,0
60,MDEwOlJlcG9zaXRvcnkxMjgwMTg0Mjg=,alibaba/Sentinel,04/04/2018,4,Java,19816,21,3.0,1.0,52405,0
61,MDEwOlJlcG9zaXRvcnkyMDgxODEyNg==,google/ExoPlayer,13/06/2014,8,Java,19790,20,6.0,1.0,221852,0
62,MDEwOlJlcG9zaXRvcnkxNTgyMzQ2MA==,redisson/redisson,11/01/2014,8,Java,19759,112,4.0,1.0,162796.0,0
63,MDEwOlJlcG9zaXRvcnkyMDU4NzU5OQ==,apache/flink,07/06/2014,8,Java,19715,0,6.0,1.0,10864.0,1.0
64,MDEwOlJlcG9zaXRvcnkyMzA5NTk1NA==,ReactiveX/RxAndroid,19/08/2014,8,Java,19694,18,1.0,1.0,1433,0
65,MDEwOlJlcG9zaXRvcnkxMTAzNjA3,jenkinsci/jenkins,22/11/2010,11,Java,19446,204,4.0,2.0,175546,0
66,MDEwOlJlcG9zaXRvcnkyMDc3Mzc3Mw==,bazelbuild/bazel,12/06/2014,8,Java,19361,170,6.0,1.0,573922,1.0
67,MDEwOlJlcG9zaXRvcnkxNDQ3MDU2MDI=,didi/DoKit,14/08/2018,4,Java,19025,10,2.0,1.0,70939,0
68,MDEwOlJlcG9zaXRvcnkxNjE3NTc4Mzc=,elunez/eladmin,14/12/2018,3,Java,18686,0,4.0,1.0,7787,0
69,MDEwOlJlcG9zaXRvcnk1MDg0NzUw,Baseflow/PhotoView,17/07/2012,10,Java,18325,5,3.0,1.0,1792,0
70,MDEwOlJlcG9zaXRvcnk3NTE2NDgyMw==,apache/rocketmq,30/11/2016,5,Java,18045,7,3.0,1.0,126617,1.0
